CustomerID,Austria,Belgium,Finland,France,Germany,Italy,Norway,Portugal,Spain,Switzerland,United Kingdom
12346,0,0,0,0,0,0,0,0,0,0,1
12348,0,0,1,0,0,0,0,0,0,0,0
12350,0,0,0,0,0,0,1,0,0,0,0
12352,0,0,0,0,0,0,1,0,0,0,0
12354,0,0,0,0,0,0,0,0,1,0,0
12356,0,0,0,0,0,0,0,1,0,0,0
12358,1,0,0,0,0,0,0,0,0,0,0
12360,1,0,0,0,0,0,0,0,0,0,0
12361,0,1,0,0,0,0,0,0,0,0,0
12362,0,1,0,0,0,0,0,0,0,0,0
12364,0,1,0,0,0,0,0,0,0,0,0
12373,1,0,0,0,0,0,0,0,0,0,0
12377,0,0,0,0,0,0,0,0,0,1,0
12378,0,0,0,0,0,0,0,0,0,1,0
12379,0,1,0,0,0,0,0,0,0,0,0
12380,0,1,0,0,0,0,0,0,0,0,0
12381,0,0,0,0,0,0,1,0,0,0,0
12383,0,1,0,0,0,0,0,0,0,0,0
12384,0,0,0,0,0,0,0,0,0,1,0
12395,0,1,0,0,0,0,0,0,0,0,0
12397,0,1,0,0,0,0,0,0,0,0,0
12399,0,1,0,0,0,0,0,0,0,0,0
12401,0,1,0,0,0,0,0,0,0,0,0
12402,0,1,0,0,0,0,0,0,0,0,0
12405,0,0,1,0,0,0,0,0,0,0,0
12407,0,1,0,0,0,0,0,0,0,0,0
12408,0,1,0,0,0,0,0,0,0,0,0
12409,0,0,0,0,0,0,0,0,0,1,0
12410,0,0,0,0,0,0,0,0,0,1,0
12413,0,0,0,1,0,0,0,0,0,0,0
12414,1,0,0,0,0,0,0,0,0,0,0
12418,0,0,0,0,0,0,0,0,0,1,0
12421,0,0,0,0,0,0,0,0,1,0,0
12423,0,1,0,0,0,0,0,0,0,0,0
12426,0,0,0,0,1,0,0,0,0,0,0
12427,0,0,0,0,1,0,0,0,0,0,0
12428,0,0,1,0,0,0,0,0,0,0,0
12432,0,0,0,0,0,0,1,0,0,0,0
12433,0,0,0,0,0,0,1,0,0,0,0
12437,0,0,0,1,0,0,0,0,0,0,0
12438,0,0,0,0,0,0,1,0,0,0,0
12441,0,0,0,1,0,0,0,0,0,0,0
12444,0,0,0,0,0,0,1,0,0,0,0
12447,0,1,0,0,0,0,0,0,0,0,0
12449,0,1,0,0,0,0,0,0,0,0,0
12450,0,0,0,0,0,0,0,0,1,0,0
12451,0,0,0,0,0,0,0,0,0,1,0
12453,1,0,0,0,0,0,0,0,0,0,0
12456,0,0,0,0,0,0,0,0,0,1,0
12458,0,0,0,0,0,0,0,0,0,1,0
12461,0,0,0,0,0,0,0,0,0,1,0
12462,0,0,0,0,0,0,0,0,1,0,0
12463,0,1,0,0,0,0,0,0,0,0,0
12464,0,1,0,0,0,0,0,0,0,0,0
12465,0,1,0,0,0,0,0,0,0,0,0
12468,0,0,0,0,1,0,0,0,0,0,0
12471,0,0,0,0,1,0,0,0,0,0,0
12472,0,0,0,0,1,0,0,0,0,0,0
12473,0,0,0,0,1,0,0,0,0,0,0
12474,0,0,0,0,1,0,0,0,0,0,0
12476,0,0,0,0,1,0,0,0,0,0,0
12477,0,0,0,0,1,0,0,0,0,0,0
12480,0,0,0,0,1,0,0,0,0,0,0
12481,0,0,0,0,1,0,0,0,0,0,0
12484,0,0,0,0,0,0,0,0,1,0,0
12489,0,0,0,1,0,0,0,0,0,0,0
12490,0,0,0,1,0,0,0,0,0,0,0
12492,0,0,0,0,1,0,0,0,0,0,0
12493,0,0,0,1,0,0,0,0,0,0,0
12494,0,0,0,1,0,0,0,0,0,0,0
12500,0,0,0,0,1,0,0,0,0,0,0
12501,0,0,0,0,1,0,0,0,0,0,0
12502,0,0,0,0,0,0,0,0,1,0,0
12506,0,0,0,1,0,0,0,0,0,0,0
12507,0,0,0,0,0,0,0,0,1,0,0
12509,0,0,0,1,0,0,0,0,0,0,0
12510,0,0,0,0,0,0,0,0,1,0,0
12513,0,0,0,1,0,0,0,0,0,0,0
12514,0,0,0,0,0,1,0,0,0,0,0
12515,0,0,0,0,0,1,0,0,0,0,0
12516,0,0,0,0,1,0,0,0,0,0,0
12517,0,0,0,0,1,0,0,0,0,0,0
12518,0,0,0,0,1,0,0,0,0,0,0
12520,0,0,0,0,1,0,0,0,0,0,0
12521,0,0,0,0,1,0,0,0,0,0,0
12523,0,0,0,1,0,0,0,0,0,0,0
12524,0,0,0,0,1,0,0,0,0,0,0
12527,0,0,0,0,1,0,0,0,0,0,0
12528,0,0,0,0,1,0,0,0,0,0,0
12530,0,0,0,0,1,0,0,0,0,0,0
12534,0,0,0,0,1,0,0,0,0,0,0
12535,0,0,0,1,0,0,0,0,0,0,0
12539,0,0,0,0,0,0,0,0,1,0,0
12540,0,0,0,0,0,0,0,0,1,0,0
12541,0,0,0,0,0,0,0,0,1,0,0
12545,0,0,0,0,0,0,0,0,1,0,0
12547,0,0,0,0,0,0,0,0,1,0,0
12548,0,0,0,0,0,0,0,0,1,0,0
12551,0,0,0,0,0,0,0,0,1,0,0
12553,0,0,0,1,0,0,0,0,0,0,0
12556,0,0,0,0,0,0,0,0,1,0,0
12557,0,0,0,0,0,0,0,0,1,0,0
12559,0,0,0,0,1,0,0,0,0,0,0
12560,0,0,0,0,1,0,0,0,0,0,0
12561,0,0,0,0,1,0,0,0,0,0,0
12562,0,0,0,1,0,0,0,0,0,0,0
12564,0,0,0,1,0,0,0,0,0,0,0
12567,0,0,0,1,0,0,0,0,0,0,0
12569,0,0,0,0,1,0,0,0,0,0,0
12571,0,0,0,1,0,0,0,0,0,0,0
12573,0,0,0,1,0,0,0,0,0,0,0
12574,0,0,0,1,0,0,0,0,0,0,0
12577,0,0,0,1,0,0,0,0,0,0,0
12578,0,0,0,0,0,1,0,0,0,0,0
12580,0,0,0,0,1,0,0,0,0,0,0
12582,0,0,1,0,0,0,0,0,0,0,0
12583,0,0,0,1,0,0,0,0,0,0,0
12584,0,0,0,0,0,1,0,0,0,0,0
12585,0,0,0,0,1,0,0,0,0,0,0
12586,0,0,0,0,0,1,0,0,0,0,0
12589,0,0,0,1,0,0,0,0,0,0,0
12590,0,0,0,0,1,0,0,0,0,0,0
12591,0,0,0,0,0,1,0,0,0,0,0
12592,0,0,0,0,1,0,0,0,0,0,0
12593,0,0,0,1,0,0,0,0,0,0,0
12594,0,0,0,0,0,1,0,0,0,0,0
12596,0,0,0,0,0,0,0,0,1,0,0
12597,0,0,0,0,0,0,0,0,1,0,0
12598,0,0,0,1,0,0,0,0,0,0,0
12599,0,0,0,1,0,0,0,0,0,0,0
12600,0,0,0,0,1,0,0,0,0,0,0
12601,0,0,0,0,1,0,0,0,0,0,0
12604,0,0,0,1,0,0,0,0,0,0,0
12605,0,0,0,0,1,0,0,0,0,0,0
12609,0,0,0,0,1,0,0,0,0,0,0
12610,0,0,0,0,0,1,0,0,0,0,0
12613,0,0,0,0,1,0,0,0,0,0,0
12614,0,0,0,0,1,0,0,0,0,0,0
12615,0,0,0,1,0,0,0,0,0,0,0
12616,0,0,0,1,0,0,0,0,0,0,0
12619,0,0,0,0,1,0,0,0,0,0,0
12620,0,0,0,1,0,0,0,0,0,0,0
12621,0,0,0,0,1,0,0,0,0,0,0
12622,0,0,0,0,1,0,0,0,0,0,0
12623,0,0,0,0,1,0,0,0,0,0,0
12624,0,0,0,1,0,0,0,0,0,0,0
12625,0,0,0,0,1,0,0,0,0,0,0
12626,0,0,0,0,1,0,0,0,0,0,0
12627,0,0,0,0,1,0,0,0,0,0,0
12633,0,0,0,0,1,0,0,0,0,0,0
12635,0,0,0,0,1,0,0,0,0,0,0
12637,0,0,0,1,0,0,0,0,0,0,0
12642,0,0,0,0,1,0,0,0,0,0,0
12643,0,0,0,1,0,0,0,0,0,0,0
12644,0,0,0,0,1,0,0,0,0,0,0
12645,0,0,0,0,1,0,0,0,0,0,0
12647,0,0,0,0,1,0,0,0,0,0,0
12648,0,0,0,0,1,0,0,0,0,0,0
12649,0,0,0,0,1,0,0,0,0,0,0
12651,0,0,0,1,0,0,0,0,0,0,0
12652,0,0,0,1,0,0,0,0,0,0,0
12654,0,0,0,0,1,0,0,0,0,0,0
12656,0,0,0,1,0,0,0,0,0,0,0
12662,0,0,0,0,1,0,0,0,0,0,0
12664,0,0,1,0,0,0,0,0,0,0,0
12665,0,0,0,0,1,0,0,0,0,0,0
12668,0,0,0,0,1,0,0,0,0,0,0
12669,0,0,0,1,0,0,0,0,0,0,0
12670,0,0,0,1,0,0,0,0,0,0,0
12672,0,0,0,1,0,0,0,0,0,0,0
12673,0,0,0,0,1,0,0,0,0,0,0
12674,0,0,0,1,0,0,0,0,0,0,0
12678,0,0,0,1,0,0,0,0,0,0,0
12679,0,0,0,1,0,0,0,0,0,0,0
12680,0,0,0,1,0,0,0,0,0,0,0
12681,0,0,0,1,0,0,0,0,0,0,0
12682,0,0,0,1,0,0,0,0,0,0,0
12683,0,0,0,1,0,0,0,0,0,0,0
12684,0,0,0,1,0,0,0,0,0,0,0
12686,0,0,0,1,0,0,0,0,0,0,0
12689,0,0,0,1,0,0,0,0,0,0,0
12690,0,0,0,1,0,0,0,0,0,0,0
12691,0,0,0,1,0,0,0,0,0,0,0
12693,0,0,0,0,1,0,0,0,0,0,0
12694,0,0,0,1,0,0,0,0,0,0,0
12695,0,0,0,1,0,0,0,0,0,0,0
12700,0,0,0,1,0,0,0,0,0,0,0
12701,0,0,0,0,1,0,0,0,0,0,0
